mean,std_dev,min,max,median,label
289441373489.34753,8604781089831.002,-42100000.0,301000000000000.0,-127.0,NEGATIVE
211311927351.48813,6175996548496.647,-31800000000.0,201000000000000.0,-74.5,POSITIVE
23740929.02042385,661656904.7023692,-19700000.0,19900000000.0,3.64,NEUTRAL
27419212.05481826,829251977.6695836,-119000000.0,31700000000.0,4.61,POSITIVE
26347328.243462816,584391827.9263133,-7380.0,18900000000.0,15.3,NEUTRAL
26213181.57930766,731004540.3848428,-110000000.0,23300000000.0,-0.318,POSITIVE
10786594.338495139,307968443.3972716,-40500000.0,10100000000.0,4.34,NEUTRAL
10305658.451284505,299097219.8179296,-3880.0,9600000000.0,7.3149999999999995,NEUTRAL
6614791134.255521,146664376017.46024,-19200000000.0,4550000000000.0,6.635,NEUTRAL
31127362.437009446,883005143.4693244,-133000000.0,29100000000.0,4.895,POSITIVE
9172078.549909357,279149484.892213,-12500000.0,10200000000.0,7.985,NEUTRAL
2076129225.9555595,72218059552.47185,-2800000000.0,2930000000000.0,15.8,NEUTRAL
2413887664424.0156,71722708569792.69,-2950000000000.0,2480000000000000.0,-3.5149999999999997,POSITIVE
1146276524847.835,33305659394001.246,-1790000000000.0,1010000000000000.0,1.3250000000000002,NEGATIVE
612400211426.0728,17917404458849.97,-310000000000.0,586000000000000.0,2.8600000000000003,NEGATIVE
22183490.210402988,606361765.4940283,-83900000.0,18000000000.0,2.04,POSITIVE
16934340.66549397,489928307.69670403,-98100000.0,14500000000.0,5.1,NEUTRAL
129899146511.74823,3820710887976.2046,-128000000000.0,128000000000000.0,-2.3,NEGATIVE
6276363863695.058,186748147330303.22,-5230000000000.0,6510000000000000.0,3.98,POSITIVE
2644678673195.1255,76910157915304.86,-3830000000000.0,2370000000000000.0,1.705,NEGATIVE
292899514058.7191,8487032170427.555,-80200000000.0,251000000000000.0,4.445,NEGATIVE
9815862.884614404,285994834.8153331,-23500000.0,9030000000.0,3.16,NEUTRAL
1603323988391.0952,46700469080714.49,-11900.0,1500000000000000.0,-0.9895,NEGATIVE
631098883197.92,18330180809897.3,-966000000000.0,552000000000000.0,-2.2350000000000003,NEGATIVE
119849998310.85774,3537146473767.04,-40800000.0,122000000000000.0,-154.0,NEGATIVE
8858767548146.99,256977106219281.25,-10200000000000.0,7490000000000000.0,-1.355,NEGATIVE
971282951996.1554,28421830461637.15,-1820000000000.0,924000000000000.0,2.2,NEGATIVE
32844834.715016324,1001655089.4221606,-175000000.0,37100000000.0,3.255,POSITIVE
15679767502897.258,480317773027401.75,-1690000000000.0,1.77e+16,0.12675,NEGATIVE
22900563.642370924,664375348.8463677,-106000000.0,19900000000.0,7.36,NEUTRAL
37640582.2065345,1079650614.9398105,-3240000.0,31300000000.0,2.6500000000000004,POSITIVE
8466499.834668819,203065918.30765486,-24100000.0,5900000000.0,-0.793,POSITIVE
20056964.55836585,524410126.7206448,-61000000.0,17500000000.0,-0.35850000000000004,POSITIVE
22973126.96287881,665504026.3983744,-337000.0,21100000000.0,8.99,NEUTRAL
1389224361569.5762,40415238205923.89,-968000000.0,1290000000000000.0,-54.3,NEGATIVE
32247418.94639312,939301029.5109732,-153000000.0,28500000000.0,7.8,NEUTRAL
4087697180.9580874,79583502163.61066,-11200000000.0,2100000000000.0,10.8,NEUTRAL
2585722209249.961,75806113753924.94,-3130000000000.0,2490000000000000.0,2.635,POSITIVE
21954986.24865635,631833046.0544409,-74100.0,19100000000.0,6.91,NEUTRAL
8212148.25959385,182079781.03468162,-13100000.0,5900000000.0,-1.96,POSITIVE
2157502371.1654587,45989774347.66523,-7010000000.0,1340000000000.0,-0.134,POSITIVE
25755125.68982657,655506637.6109786,-72900000.0,20700000000.0,0.4475,POSITIVE
226523228.19315454,8484261255.104,-213000000.0,347000000000.0,8.51,POSITIVE
260463717886.75308,7614724213663.103,-4920000.0,250000000000000.0,-44.65,POSITIVE
16335022.427964553,472668576.25548214,-30300000.0,14000000000.0,5.68,NEUTRAL
20752788.206481602,643189572.3034755,-70700000.0,24100000000.0,7.095,NEUTRAL
12849218.191057973,386759995.57125324,-7050.0,13900000000.0,8.34,NEUTRAL
578243638616.7618,16867619694426.115,-60200000.0,544000000000000.0,0.08215,POSITIVE
14212389.779808601,412629762.4231242,-36000000.0,12500000000.0,6.625,NEUTRAL
8965665231376.475,260227022986935.8,-6030000000000.0,7910000000000000.0,1.048,NEGATIVE
1292637051187.1042,37788980528369.945,-1980000000000.0,1220000000000000.0,1.58,NEGATIVE
969876757.6320939,28054929319.045902,-5260000000.0,904000000000.0,10.75,NEUTRAL
277914514189.6649,8076733433744.852,-80200000000.0,251000000000000.0,4.54,NEGATIVE
14795664.039815357,403959571.6904794,-6610000.0,11900000000.0,1.7,POSITIVE
23824504.616107095,556613714.6248881,-56400000.0,15000000000.0,6.85,NEUTRAL
7519913355806.265,218390393315695.38,-9130000000000.0,6610000000000000.0,1.31,NEGATIVE
15611926.626118643,447695425.72778517,-64000000.0,13800000000.0,8.64,NEUTRAL
12959399326337.275,376544468930097.8,-15000000000000.0,1.15e+16,3.52,NEGATIVE
23414294.20252168,667475084.5200971,-1790000.0,21200000000.0,3.1,POSITIVE
26212076.749138113,742363532.1704315,-166000000.0,24600000000.0,2.55,POSITIVE
12892527.354347419,376545624.68804157,-20500000.0,12500000000.0,5.965,NEUTRAL
878115259317.9089,25494691977168.24,-97700000.0,793000000000000.0,-9.265,NEGATIVE
21315127.40166252,564220405.4491613,-147000000.0,20700000000.0,3.2350000000000003,POSITIVE
131628485760.36089,3811825919382.1016,-96700000.0,112000000000000.0,-50.6,NEGATIVE
5918201051.720836,132972041438.56918,-15100000000.0,4160000000000.0,1.84,POSITIVE
242240909.0173479,6284829952.89627,-1750000000.0,213000000000.0,16.9,NEUTRAL
21541796.094735876,480168517.8689208,-79500000.0,14800000000.0,0.0169535,POSITIVE
2186718330252.8682,63513313472967.91,-3370000000000.0,1910000000000000.0,5.84,POSITIVE
155237134459.8625,4567835767900.99,-139000000000.0,153000000000000.0,-119.0,POSITIVE
101825263.4455176,2559788752.419539,-66200000.0,93200000000.0,0.0015000000000000013,POSITIVE
729062456645.6996,21128561073809.15,-524000000000.0,620000000000000.0,-19.1,POSITIVE
36076283.678812385,1054049546.2592163,-175000000.0,33500000000.0,3.975,NEUTRAL
4949750427246.7295,143355840791347.0,-129000000.0,4250000000000000.0,-3.08,NEGATIVE
423300391791.34625,12249870791155.998,-2290000.0,365000000000000.0,-0.3695,NEGATIVE
7068777904366.679,204804963203377.25,-28700000.0,6110000000000000.0,0.11285,NEGATIVE
14543976.784997996,420660704.2941241,-61900000.0,13200000000.0,6.76,NEUTRAL
225688527183.03036,6544313999608.915,-250000000000.0,219000000000000.0,6.83,POSITIVE
22823082.68609839,458534683.31613344,-6810000.0,12500000000.0,-5.42,POSITIVE
12454570.508314528,364790231.3428365,-104000000.0,11600000000.0,4.68,NEUTRAL
28923058.947049964,664995557.6616228,-14300000.0,21200000000.0,1.61,POSITIVE
2130103335.7547529,61337464109.466064,-8320000000.0,1880000000000.0,-0.518,POSITIVE
32671375.065832756,946302911.822469,-13900000.0,29500000000.0,6.96,NEUTRAL
99651411773.2029,2960326863452.906,-25400000.0,103000000000000.0,-58.6,NEGATIVE
24122115160.66001,700528548323.4589,-3480000000.0,21800000000000.0,-93.8,NEGATIVE
11828855437984.295,343245304724580.3,-14200000000000.0,1.01e+16,2.855,NEGATIVE
8169048.252556809,237312548.41620097,-34600000.0,7580000000.0,6.25,NEUTRAL
4021383757932.093,116459961563563.7,-404000000.0,3470000000000000.0,-14.4,NEGATIVE
13014856.762150276,360344123.6861614,-12300000.0,12000000000.0,2.06,NEUTRAL
17156607.694217984,531344550.52569586,-72200000.0,19900000000.0,5.325,NEUTRAL
78557838.94799484,2614966288.1338425,-571000000.0,103000000000.0,6.43,NEUTRAL
1221451033084.8345,35540006755527.38,-1150000000000.0,1110000000000000.0,0.5625,NEGATIVE
1501579115055.5696,46655227037635.2,-68900000000.0,1750000000000000.0,2.43,NEGATIVE
32218918.853072457,780203067.6237682,-11800000.0,22500000000.0,12.8,NEUTRAL
112316157749.34798,2933671762269.807,-29300000000.0,98700000000000.0,23.2,NEUTRAL
34993856228.36648,998750927955.0242,-35700000000.0,29300000000000.0,9.57,NEGATIVE
58689514.77155836,1745621247.2902849,-175000000.0,61200000000.0,3.395,POSITIVE
16814752.95735376,475177780.7431373,-7830000.0,16000000000.0,8.129999999999999,NEUTRAL
29665101.900084093,741284735.0096914,-296000.0,22300000000.0,10.1,NEUTRAL
570676220870.0713,16511463237346.283,-400000000.0,492000000000000.0,2.39,NEGATIVE
105082214.87075648,2564161113.5564113,-858000000.0,85400000000.0,4.255000000000001,NEUTRAL
10027045755229.148,290447586349022.8,-20400000.0,8510000000000000.0,-0.45399999999999996,NEGATIVE
4411494009579.577,127805983172150.84,-15500000.0,3750000000000000.0,-1.125,NEGATIVE
370328211217.81116,10738197388573.803,-7460000000.0,325000000000000.0,1.975,POSITIVE
10471350607319.143,303713816960764.75,-9980000000000.0,8840000000000000.0,2.87,NEGATIVE
21712591.260480158,670038006.8306527,-96200000.0,24900000000.0,7.31,NEUTRAL
6069407329382.037,177532401449473.8,-8310000000000.0,5760000000000000.0,8.43,NEGATIVE
12940836.270588562,336990875.8990676,-15900000.0,10000000000.0,-1.47,POSITIVE
16101085.504106808,503816206.61291885,-76200000.0,19100000000.0,11.7,NEUTRAL
18055051.781934023,446318915.51902175,-34100000.0,13300000000.0,4.96,POSITIVE
897300848381.8522,26009201801928.945,-362000000000.0,762000000000000.0,0.06865,NEGATIVE
599339942717.1357,17463265585306.434,-824000000000.0,552000000000000.0,-3.4349999999999996,NEGATIVE
1056312068096.9285,30609460848015.17,-80700000.0,936000000000000.0,-8.219999999999999,NEGATIVE
18586897.281335287,545245408.7030683,-170000.0,18600000000.0,8.07,NEUTRAL
545043078862.66486,15809507663947.467,-704.0,492000000000000.0,1.9449999999999998,NEGATIVE
1262112810929.684,36850795771895.164,-418000000.0,1200000000000000.0,-0.636,NEGATIVE
3228834413328.9785,93667932046392.1,-3790000000000.0,2770000000000000.0,5.66,NEGATIVE
17433279.887295958,505026064.59269303,-361000.0,15700000000.0,4.58,NEUTRAL
8612078.445970237,248822617.0695809,-1410000.0,8000000000.0,4.81,NEUTRAL
16887284.40385364,469790136.19317275,-80000000.0,14100000000.0,0.1535,POSITIVE
12018342.474852514,348315315.94055533,-5730000.0,11200000000.0,5.225,NEUTRAL
95581905.26951276,3035050558.636478,-608000000.0,116000000000.0,1.75,POSITIVE
16827767.54427864,553072233.4496228,-82400000.0,21700000000.0,7.955,NEUTRAL
2175455801983.251,63709360701289.93,-3200000000000.0,2080000000000000.0,4.01,NEGATIVE
352627037.1686936,8193538421.1472435,-65800000.0,238000000000.0,-250.0,NEGATIVE
898186675.2673368,25903851583.585186,-1150.0,1030000000000.0,-245.0,NEGATIVE
11314609.212674687,325172709.3129569,-48300000.0,10400000000.0,-0.5365,NEUTRAL
13117443.78207161,390446055.8279934,-9090000.0,13700000000.0,7.88,NEUTRAL
10065106.393175373,307770483.7491083,-258000.0,11700000000.0,3.68,NEUTRAL
388616206617.9058,11596068197408.04,-788000000000.0,405000000000000.0,1.395,NEGATIVE
493627079.35007185,11563593024.462572,-1540000000.0,322000000000.0,5.165,POSITIVE
57111610.65662387,1711219550.6304655,-100000000.0,61200000000.0,3.13,POSITIVE
29511244.8034036,907671034.5629302,-175000000.0,33500000000.0,4.18,NEUTRAL
1040091795055.5491,30121475695249.45,-84900000.0,909000000000000.0,-6.225,NEGATIVE
23355358031.7703,843822827913.4142,-10000000000.0,34500000000000.0,12.6,NEUTRAL
395282407.7621297,13392309017.261662,-3280000000.0,543000000000.0,0.934,POSITIVE
1347258644.5235648,49767643453.95446,-66500000.0,2030000000000.0,7.92,NEUTRAL
1577976320.2581441,43019390242.6058,-6370000000.0,1280000000000.0,17.0,POSITIVE
22124377.540049676,640858712.0722097,-6480000.0,21500000000.0,4.285,POSITIVE
18327286.476938583,526554733.3054767,-40100000.0,16600000000.0,3.875,POSITIVE
16032715.83096409,464010753.07990354,-9090000.0,13700000000.0,7.225,NEUTRAL
27810310.49973403,797943760.9000223,-160000000.0,26900000000.0,8.48,POSITIVE
13076371333358.686,379565313668434.7,-16200000000000.0,1.13e+16,6.41,NEGATIVE
1573883506547.5051,45636565988121.37,-52700000.0,1410000000000000.0,-5.529999999999999,NEGATIVE
3999640022261.961,116125873281140.56,-5390000000000.0,3470000000000000.0,0.9205,POSITIVE
9884693.290088633,285995816.0609777,-25700000.0,8980000000.0,8.03,NEUTRAL
69841931558.81541,2127239069774.9436,-40800000.0,78400000000000.0,-159.0,NEGATIVE
20223695.319323327,589231182.3872249,-85900000.0,18100000000.0,8.22,NEUTRAL
44163123897933.86,1810296119286018.5,-68200000000000.0,7.42e+16,8.09,POSITIVE
277298560547.0013,8063581923715.364,-186000000000.0,252000000000000.0,-63.6,NEGATIVE
1257543885212.3008,36781206689881.82,-61000000.0,1210000000000000.0,-6.085,NEGATIVE
714257575437.2067,21377638306265.76,-74000000.0,758000000000000.0,-1.8,NEGATIVE
11040371.182464851,315358362.4868159,-74000000.0,10200000000.0,2.5,POSITIVE
156275038.6227304,4240125915.5002785,-2600000.0,138000000000.0,6.22,POSITIVE
25570882.406533442,750049128.2190347,-184000000.0,24100000000.0,8.915,NEUTRAL
68453855434.824936,2024087204649.1663,-19100000.0,69400000000000.0,-13.0,NEGATIVE
14964531.732583398,439710542.10379547,-733000.0,15000000000.0,5.85,NEUTRAL
20518114.505182885,605546994.5560747,-1470.0,20900000000.0,6.79,NEUTRAL
709089870143.9147,20597472227022.875,-411000000000.0,633000000000000.0,-0.376,NEGATIVE
147582006257.94357,4308351330413.268,-75000000000.0,139000000000000.0,3.29,NEGATIVE
1071268906.3288839,23068838656.773045,-3410000000.0,678000000000.0,1.73,POSITIVE
14512294472019.295,590429227945204.6,-31800000000.0,2.42e+16,-46.3,POSITIVE
1168130582536.4558,33994267519278.94,-89300000.0,1080000000000000.0,-3.2,NEGATIVE
1033374115898.0422,30048961266778.492,-26800000.0,952000000000000.0,0.5245,NEGATIVE
8183233733107.767,236970852945185.75,-71300000.0,7130000000000000.0,-1.53,NEGATIVE
24689484.806745242,702189372.9300486,-91200000.0,20700000000.0,4.705,POSITIVE
25914881.898741998,652934564.8756117,-72000000.0,18700000000.0,13.9,NEUTRAL
21241733.891785897,622513616.8606545,-82300000.0,20200000000.0,6.39,NEUTRAL
206243449786.89197,5972186599010.232,-190000000000.0,180000000000000.0,-117.0,POSITIVE
1283939200953.422,37368453107093.26,-3880000.0,1190000000000000.0,0.223,NEGATIVE
3951490926904.931,114354763928214.23,-68200000.0,3360000000000000.0,-2.73,NEGATIVE
14343690.506218215,421620385.46156067,-29300000.0,14100000000.0,7.175000000000001,NEUTRAL
4118392489.514125,86449292580.14702,-10500000000.0,2250000000000.0,-3.61,POSITIVE
7516580348038.066,218210221554377.3,-7730000000000.0,6600000000000000.0,4.85,NEGATIVE
1625485599889.3062,48651027858436.8,-508000000000.0,1720000000000000.0,0.736,POSITIVE
208026563089.22232,8539152411369.036,-719000000000.0,350000000000000.0,-21.15,POSITIVE
24801375.13635631,542715662.6835376,-19600000.0,18000000000.0,12.25,POSITIVE
30140396431.750614,976002772105.915,-23200000.0,38200000000000.0,-193.5,NEGATIVE
2908800286740.5537,84321939098620.25,-78900000.0,2590000000000000.0,-1.545,NEGATIVE
922585993593.1473,26778550230684.56,-36500000000.0,828000000000000.0,2.385,NEGATIVE
5506324800074.002,183356160586815.72,-5730000000000.0,7240000000000000.0,1.91,POSITIVE
42017539.25634651,1082016162.1289327,-77700000.0,33300000000.0,4.34,NEUTRAL
9607906.849960178,294471082.0959713,-153000.0,10900000000.0,6.73,NEUTRAL
168958621.5039307,5799717828.325739,-1360000000.0,236000000000.0,2.53,POSITIVE
16276841.69303333,465666501.62164974,-9750.0,13500000000.0,7.945,NEUTRAL
79232133.70485987,2301739165.4380994,-263000000.0,68700000000.0,6.93,NEUTRAL
36628020.86657946,940700755.0114704,-206000000.0,36500000000.0,11.149999999999999,POSITIVE
3425105710.9369965,84896142866.24344,-2890000000.0,2930000000000.0,14.3,NEUTRAL
20852846.112339504,603723946.1610692,-13100000.0,21900000000.0,4.7,NEUTRAL
536035381165.5884,15745507677416.104,-29300000.0,529000000000000.0,-15.6,NEGATIVE
664879225130.8279,19308662314240.855,-23500000.0,608000000000000.0,1.01,NEGATIVE
2219105621417.133,64612419703302.516,-1750000000000.0,2040000000000000.0,-1.81,POSITIVE
560720318.0289133,22234885169.39969,-10500000.0,911000000000.0,10.1,NEUTRAL
498629393070.0415,14434582520533.424,-19800000.0,438000000000000.0,-0.364,NEGATIVE
723075147802.1011,20951003524144.65,-26000000.0,629000000000000.0,-0.9835,NEGATIVE
3579588010662.275,104241479998680.44,-3800000000000.0,3280000000000000.0,-1.115,NEGATIVE
17568063.951335765,512182607.48614526,-85900000.0,16000000000.0,10.0,NEUTRAL
41273423.04028809,1193632035.8074167,-51000.0,36500000000.0,6.83,NEUTRAL
30462833.866998445,880551663.0623707,-6480000.0,29000000000.0,1.6400000000000001,POSITIVE
3934743555839.073,114172154958551.56,-4860000000000.0,3310000000000000.0,1.755,POSITIVE
10144482366620.994,293880524136268.4,-816.0,8530000000000000.0,0.7615000000000001,NEGATIVE
2359275166646.8906,70246611609825.74,-3920000000000.0,2440000000000000.0,2.77,POSITIVE
16957897.18308444,491014590.3021684,-232000.0,15200000000.0,5.22,NEUTRAL
1084194002989.1716,31443377522558.953,-1190000000000.0,924000000000000.0,2.44,NEGATIVE
2698088790140.234,78142042634969.75,-26300000.0,2310000000000000.0,-0.788,NEGATIVE
11847244.420814749,361836933.92734116,-55600000.0,13300000000.0,6.64,NEUTRAL
579775582170.784,16805040326041.023,-188000000000.0,501000000000000.0,2.35,NEGATIVE
23360891.751224704,757818314.3624867,-145000000.0,29500000000.0,5.705,NEUTRAL
29149174.291729987,841850895.7976488,-65400000.0,27000000000.0,3.69,POSITIVE
16683472.679055378,474295343.55334944,-49200000.0,15600000000.0,1.66,POSITIVE
8767148.704197112,228770327.04518557,-29200000.0,7860000000.0,18.450000000000003,NEUTRAL
33812292.23785938,1058122794.0938187,-11900000.0,40200000000.0,6.865,NEUTRAL
10967033.941388534,316909538.2213458,-12000000.0,9980000000.0,14.6,NEUTRAL
294133059071.26733,8521516231527.764,-59000000.0,252000000000000.0,-53.7,NEGATIVE
848343298616.4191,24610315463936.39,-45900000000.0,750000000000000.0,-12.149999999999999,NEGATIVE
1200433415675.0562,35449842462413.87,-1960000000000.0,1200000000000000.0,-1.645,POSITIVE
3145717832829.018,95460972856360.14,-160000.0,3470000000000000.0,-59.3,POSITIVE
24363658.49460693,704240392.783636,-26900000.0,22000000000.0,2.895,NEUTRAL
7620680.878927582,212433859.20680705,-17400000.0,6620000000.0,7.855,NEUTRAL
15727069.893149044,471427886.74514604,-26200000.0,16700000000.0,5.47,NEUTRAL
34364189.86972964,1145314989.487399,-267000000.0,45200000000.0,5.96,NEUTRAL
1523369476727.4724,46782007026183.68,-185000000000.0,1730000000000000.0,-5.645,NEGATIVE
518149509.13555413,14649563589.597435,-2980000000.0,425000000000.0,12.0,NEUTRAL
846175505504.3705,24559221592740.14,-1530000000000.0,714000000000000.0,4.805,NEGATIVE
35392218.0369996,1031252977.4110494,-216000000.0,32200000000.0,4.8,NEUTRAL
29453051.46708123,575962609.4664533,-159.0,15900000000.0,5.615,POSITIVE
341652681630.6683,10206618232635.69,-123000000000.0,359000000000000.0,-20.1,POSITIVE
23944774390.932957,932538564168.8682,-6400000000.0,38200000000000.0,23.7,NEUTRAL
1466711661.9563987,27439832731.741035,-4760000000.0,799000000000.0,4.585,POSITIVE
21750476.270083338,623016523.1666043,-74600.0,18700000000.0,5.715,NEUTRAL
597581101960.4716,17502721814782.873,-609000000000.0,573000000000000.0,8.74,NEGATIVE
950793262628.3962,28073879296053.35,-269000000000.0,958000000000000.0,-61.0,NEGATIVE
1036076642070.542,30049172129027.293,-838000000000.0,888000000000000.0,5.715,NEGATIVE
48628699987.62722,1467195008447.1682,-23200000000.0,52700000000000.0,7.105,NEGATIVE
15178015.821567897,438115984.9109416,-188000.0,12900000000.0,5.535,NEUTRAL
172900747.97714752,5359360999.891123,-1120000000.0,214000000000.0,11.55,POSITIVE
28004939.77501618,670262537.3268272,-162000.0,18900000000.0,7.665,NEUTRAL
17965823.69190153,534617779.4426556,-18000.0,18900000000.0,7.615,NEUTRAL
11900382.97431295,349200384.36159426,-1620000.0,11900000000.0,8.36,NEUTRAL
48836198.39548726,1507207704.5334876,-295000000.0,56100000000.0,1.115,POSITIVE
24228548.245591488,769097397.6902288,-5550000.0,30000000000.0,-2.82,POSITIVE
12523687.571530972,375872404.846195,-8010000.0,13400000000.0,6.06,NEUTRAL
